Costumer,Spectral Frequency
1.0,25.56
2.0,25.56
3.0,25.56
4.0,1.84
5.0,0.52
6.0,0.52
7.0,25.56
8.0,25.56
9.0,12.8
10.0,25.56
11.0,4369.08
12.0,0.56
13.0,0.56
14.0,0.68
15.0,1.0
16.0,25.56
17.0,5.12
18.0,5.76
19.0,1.08
20.0,1.04
21.0,12.8
22.0,1.08
23.0,6.4
24.0,0.68
25.0,25.56
26.0,1.08
27.0,1.44
28.0,2.24
29.0,0.72
30.0,0.6
31.0,25.56
32.0,25.56
33.0,0.84
34.0,1.28
35.0,25.56
36.0,25.56
37.0,25.56
38.0,25.56
39.0,0.64
40.0,2.84
41.0,25.56
42.0,12.8
43.0,0.64
44.0,1.08
45.0,25.56
46.0,0.52
47.0,0.56
48.0,25.56
49.0,25.56
50.0,25.56
51.0,0.56
52.0,0.52
53.0,0.56
54.0,6.4
55.0,0.8
56.0,5.12
57.0,0.52
58.0,0.64
59.0,0.6
60.0,0.52
61.0,25.56
62.0,0.52
63.0,1.28
64.0,25.56
65.0,0.56
66.0,0.56
67.0,1.84
68.0,2.12
69.0,0.52
70.0,25.56
71.0,25.56
72.0,25.56
73.0,1.08
74.0,4369.08
75.0,25.56
76.0,0.6
77.0,1.08
78.0,8.52
79.0,1.32
80.0,4369.08
81.0,2.84
82.0,0.68
83.0,0.56
84.0,25.56
85.0,0.52
86.0,0.56
87.0,25.56
88.0,0.64
89.0,25.56
90.0,25.56
91.0,4369.08
92.0,25.56
93.0,1.44
94.0,0.56
95.0,25.56
96.0,0.88
97.0,1.28
98.0,1.2
99.0,1.36
100.0,25.56
101.0,0.6
102.0,0.64
103.0,0.6
104.0,4369.08
105.0,0.64
106.0,25.56
107.0,0.56
108.0,1.08
109.0,0.56
110.0,1.12
111.0,25.56
112.0,6.4
113.0,0.56
114.0,0.64
115.0,0.64
116.0,0.6
117.0,12.76
118.0,25.56
119.0,25.56
120.0,25.56
121.0,0.52
122.0,4.28
123.0,0.64
124.0,25.56
125.0,2.96
126.0,25.56
127.0,0.56
128.0,12.8
129.0,4.28
130.0,0.52
131.0,1.16
132.0,0.56
133.0,12.8
134.0,25.56
135.0,0.56
136.0,0.64
137.0,0.52
138.0,0.52
139.0,8.52
140.0,0.6
141.0,0.56
142.0,1.08
143.0,2.08
144.0,25.56
145.0,25.56
146.0,6.4
147.0,0.56
148.0,12.8
149.0,1.08
150.0,0.52
151.0,0.72
152.0,0.52
153.0,0.56
154.0,0.6
155.0,0.56
156.0,25.56
157.0,25.56
158.0,0.52
159.0,25.56
160.0,1.72
161.0,0.52
162.0,25.56
163.0,25.56
164.0,2.84
165.0,3.2
166.0,25.56
167.0,25.56
168.0,0.6
169.0,0.64
170.0,25.56
171.0,0.56
172.0,25.56
173.0,0.6
174.0,0.64
175.0,1.08
176.0,0.52
177.0,1.44
178.0,0.52
179.0,1.08
180.0,4369.08
181.0,0.6
182.0,1.08
183.0,0.56
184.0,25.56
185.0,0.52
186.0,25.56
187.0,0.52
188.0,0.6
189.0,0.6
190.0,0.56
191.0,2.84
192.0,25.56
193.0,0.52
194.0,1.44
195.0,25.56
196.0,0.72
197.0,4369.08
198.0,1.28
199.0,25.56
200.0,0.52
201.0,25.56
202.0,0.6
203.0,4369.08
204.0,25.56
205.0,0.56
206.0,0.52
207.0,0.68
208.0,0.76
209.0,12.8
210.0,4369.08
211.0,0.92
212.0,4369.08
213.0,25.56
214.0,1.68
215.0,2.84
216.0,0.76
217.0,4369.08
218.0,25.56
219.0,12.76
220.0,0.92
221.0,25.56
222.0,25.56
223.0,25.56
224.0,25.56
225.0,25.56
226.0,25.56
227.0,0.64
228.0,25.56
229.0,0.56
230.0,0.6
231.0,0.56
232.0,0.64
233.0,4369.08
234.0,0.6
235.0,0.72
236.0,2.12
237.0,25.56
238.0,0.64
239.0,0.52
240.0,25.56
241.0,1.52
242.0,12.8
243.0,0.56
244.0,25.56
245.0,25.56
246.0,0.56
247.0,5.2
248.0,0.52
249.0,25.56
250.0,0.52
251.0,25.56
252.0,0.52
253.0,12.8
254.0,0.56
255.0,0.56
256.0,2.12
257.0,0.56
258.0,25.56
259.0,0.52
260.0,3.2
261.0,25.56
262.0,1.44
263.0,4369.08
264.0,1.0
265.0,0.56
266.0,0.56
267.0,0.56
268.0,0.52
269.0,1.36
270.0,0.6
271.0,0.6
272.0,1.0
273.0,25.56
274.0,0.6
275.0,0.72
276.0,4369.08
277.0,0.92
278.0,25.56
279.0,25.56
280.0,12.8
281.0,0.8
282.0,0.64
283.0,1.36
284.0,1.08
285.0,25.56
286.0,0.6
287.0,1.08
288.0,0.56
289.0,0.76
290.0,25.56
291.0,25.56
292.0,0.52
293.0,25.56
294.0,1.36
295.0,0.52
296.0,0.52
297.0,25.56
298.0,25.56
299.0,25.56
300.0,12.8
301.0,25.72
302.0,0.68
303.0,25.56
304.0,0.52
305.0,25.56
306.0,25.56
307.0,0.52
308.0,0.52
309.0,25.56
310.0,1.04
311.0,1.08
312.0,2.12
313.0,0.68
314.0,25.56
315.0,0.8
316.0,25.56
317.0,12.8
318.0,0.68
319.0,25.56
320.0,0.56
321.0,6.16
322.0,12.76
323.0,0.56
324.0,0.6
325.0,4369.08
326.0,25.56
327.0,25.56
328.0,0.52
329.0,0.52
330.0,25.56
331.0,1.0
332.0,0.6
333.0,0.56
334.0,0.72
335.0,0.8
336.0,0.6
337.0,25.56
338.0,0.6
339.0,25.56
340.0,0.6
341.0,0.84
342.0,0.88
343.0,1.04
344.0,0.8
345.0,0.56
346.0,25.56
347.0,25.56
348.0,25.56
349.0,25.56
350.0,12.8
351.0,0.56
352.0,0.56
353.0,0.6
354.0,25.56
355.0,4369.08
356.0,0.72
357.0,25.56
358.0,25.56
359.0,12.8
360.0,3.16
361.0,0.56
362.0,0.72
363.0,12.8
364.0,25.56
365.0,0.56
366.0,0.52
367.0,0.6
368.0,0.64
369.0,1.08
370.0,12.8
371.0,0.76
372.0,0.64
373.0,1.16
374.0,0.6
375.0,25.56
376.0,0.6
377.0,25.56
378.0,25.56
379.0,12.8
380.0,0.92
381.0,0.84
382.0,25.56
383.0,25.56
384.0,25.56
385.0,0.6
386.0,1.24
387.0,0.64
388.0,12.8
389.0,0.6
390.0,1.0
391.0,0.68
392.0,1.08
393.0,5.12
394.0,0.6
395.0,6.4
396.0,25.56
397.0,25.56
398.0,0.52
399.0,0.6
400.0,1.12
401.0,6.4
402.0,0.84
403.0,0.56
404.0,0.56
405.0,0.68
406.0,0.6
407.0,3.2
408.0,25.56
409.0,0.56
410.0,0.56
411.0,0.96
412.0,0.56
413.0,0.56
414.0,1.96
415.0,0.52
416.0,1.12
417.0,0.68
418.0,0.56
419.0,0.8
420.0,1.44
421.0,25.56
422.0,4369.08
423.0,25.56
424.0,25.56
425.0,0.52
426.0,0.52
427.0,1.52
428.0,0.64
429.0,1.52
430.0,2.32
431.0,0.68
432.0,1.12
433.0,25.56
434.0,0.64
435.0,0.84
436.0,1.08
437.0,25.56
438.0,0.76
439.0,2.12
440.0,25.56
441.0,2.32
442.0,25.56
443.0,0.64
444.0,0.56
445.0,25.56
446.0,0.52
447.0,0.68
448.0,0.6
449.0,25.56
450.0,0.56
451.0,0.6
452.0,1.08
453.0,0.52
454.0,25.56
455.0,25.56
456.0,25.56
457.0,25.56
458.0,25.56
459.0,1.96
460.0,0.92
461.0,25.56
462.0,25.56
463.0,25.56
