Customer,Spectral Frequency 1 X,Spectral Frequency 1 Y,Spectral Frequency 2 X,Spectral Frequency 2 Y,K-means cluster,Profiles
2,24.0,55.0976,23.9362,54.6101,9,['KVKSEGMENT_8']
3,24.0,875.6454,23.9362,867.8616,14,['E3A']
4,1.7153,3144.1649,1.7156,3142.6885,7,['KVKSEGMENT_6']
5,24.0,77.7135,24.0642,77.1143,9,['E3A']
6,24.0,82.6844,24.0642,82.1239,9,['KVKSEGMENT_20']
7,24.0,109.2515,24.0642,108.3587,9,['KVKSEGMENT_17']
9,12.0,6148.6251,11.984,6096.0143,3,['KVKSEGMENT_4']
10,24.0,338.5202,24.0642,335.5243,0,['E3C']
12,0.5495,34.6566,0.5496,34.6534,9,['KVKSEGMENT_20']
14,0.5556,52.6695,0.5557,52.6673,9,['KVKSEGMENT_10']
15,0.9742,3978.0594,0.9741,3977.188,11,['KVKSEGMENT_5']
19,0.9968,200.7383,0.9969,200.5092,9,['KVKSEGMENT_1']
21,12.0,136.4896,11.984,135.5575,9,['KVKSEGMENT_16']
22,1.0,738.4403,0.9999,732.4227,14,['KVKSEGMENT_14']
23,6.0,541.3816,5.996,537.564,0,['KVKSEGMENT_4']
24,12.0,53.2108,12.016,52.8949,9,['E3D']
25,24.0,251.8651,24.0642,249.7202,9,['E3D']
26,2.4,384.6482,2.3994,383.4108,0,['E3B']
28,0.7059,23.1063,0.7059,23.1039,9,['KVKSEGMENT_18']
29,0.6667,2904.2808,0.6668,2902.5114,7,['KVKSEGMENT_1']
30,0.5822,1430.6889,0.5821,1430.4232,18,['E3A']
31,24.0,162.406,24.0642,161.5133,9,['E3B']
34,1.2,375.5797,1.1998,372.7386,0,['KVKSEGMENT_8']
35,24.0,529.7482,23.9362,525.0274,0,['E3B']
37,24.0,98.1114,24.0642,97.4046,9,['E3B']
38,24.0,195.4401,24.0642,193.8544,9,['KVKSEGMENT_14']
39,0.5,427.1064,0.5,426.9363,0,['E3C']
41,24.0,135.8399,24.0642,134.8815,9,['E3A']
42,12.0,126.997,12.016,126.066,9,['KVKSEGMENT_13']
44,1.0221,309.6589,1.0223,309.5724,0,['KVKSEGMENT_17']
45,24.0,215.3976,23.9362,213.8196,9,['KVKSEGMENT_1']
46,0.5106,303.1255,0.5107,302.6275,0,['KVKSEGMENT_2']
47,12.0,225.7748,11.984,225.7099,9,['E3A']
48,24.0,222.8673,23.9362,221.0324,9,['E3A']
51,24.0,108.426,23.9362,107.565,9,['KVKSEGMENT_16']
52,0.5,299.3514,0.5,298.2745,0,['KVKSEGMENT_4']
53,0.5217,109.0997,0.5217,109.0274,9,['KVKSEGMENT_10']
54,6.0,181.5369,5.996,180.2336,9,['KVKSEGMENT_1']
55,0.7501,65.144,0.7501,65.135,9,['KVKSEGMENT_11']
56,24.0,258.6411,24.0642,256.2901,9,['KVKSEGMENT_18']
57,0.5063,30.0065,0.5062,29.9774,9,['E3A']
58,0.5857,32.7952,0.5857,32.7719,9,['KVKSEGMENT_11']
59,0.6805,34.5673,0.6805,34.5527,9,['E3B']
61,24.0,137.4855,23.9362,136.3106,9,['KVKSEGMENT_20']
64,24.0,881.5002,24.0642,873.6282,14,['KVKSEGMENT_8']
65,0.5333,56.4859,0.5217,56.428,9,['KVKSEGMENT_7']
66,0.6958,31.855,0.6958,31.8477,9,['E3A']
67,1.0909,166.7984,1.0908,166.1626,9,['E3A']
68,2.0,524.8846,2.0004,524.2479,0,['KVKSEGMENT_14']
69,0.5,645.3962,0.5,639.8961,0,['KVKSEGMENT_8']
71,24.0,98.7363,24.0642,97.9159,9,['KVKSEGMENT_12']
73,24.0,550.3349,23.9362,545.3201,0,['E3C']
75,24.0,452.7997,24.0642,448.735,0,['E3B']
76,0.5455,114.3414,0.5455,114.2891,9,['KVKSEGMENT_19']
77,0.9954,1612.2093,0.9952,1608.8691,18,['KVKSEGMENT_8']
78,8.0,2158.6744,7.9929,2155.0926,18,['KVKSEGMENT_8']
81,12.0,8741.3137,12.016,8696.6392,13,['E3B']
82,0.6486,528.6321,0.6487,526.5878,0,['E3C']
83,24.0,197.7493,23.9362,196.2265,9,['KVKSEGMENT_4']
85,0.5,3752.2998,0.5,3719.2311,11,['KVKSEGMENT_14']
87,24.0,1119.7339,23.9362,1110.1241,14,['KVKSEGMENT_1']
88,0.5915,42.9473,0.5914,42.9366,9,['KVKSEGMENT_14']
89,24.0,37.7228,24.0642,37.3992,9,['E3A']
92,24.0,581.318,23.9362,576.5127,0,['E3C']
93,1.3333,1489.348,1.3335,1480.2168,18,['KVKSEGMENT_1']
94,24.0,304.2413,23.9362,301.9524,0,['E3B']
95,24.0,74.4296,23.9362,73.7713,9,['KVKSEGMENT_16']
96,0.542,6239.0196,0.542,6238.3979,3,['E3A']
97,0.5,375.9062,0.5,373.3301,0,['KVKSEGMENT_8']
99,1.2632,749.7893,1.263,745.8012,14,['KVKSEGMENT_2']
100,24.0,102.493,24.0642,102.0557,9,['KVKSEGMENT_4']
101,24.0,643.5321,23.9362,638.1596,0,['KVKSEGMENT_11']
102,0.6,309.6468,0.6,308.4321,0,['KVKSEGMENT_8']
105,24.0,47.1473,23.9362,46.7433,9,['E3A']
108,1.0,3759.9625,0.9999,3726.5971,11,['E3B']
109,0.5241,663.8331,0.5241,663.2843,0,['E3A']
113,0.5251,36.421,0.525,36.4191,9,['E3B']
114,0.5106,52.9311,0.5106,52.6252,9,['E3C']
115,24.0,410.3376,23.9362,406.9143,0,['KVKSEGMENT_16']
116,24.0,30.785,24.0642,30.5261,9,['KVKSEGMENT_1']
117,12.0,209.0978,11.984,208.6671,9,['KVKSEGMENT_8']
118,24.0,955.7275,23.9362,947.0757,14,['E3C']
120,24.0,374.6896,24.0642,371.5418,0,['KVKSEGMENT_10']
121,1.0,6152.3229,0.9999,6126.0668,3,['E3B']
125,3.8103,259.2226,3.8087,259.1978,9,['E3A']
126,24.0,8631.7024,23.9362,8553.4173,13,['KVKSEGMENT_8']
128,12.0,249.2011,11.984,247.0566,9,['E3C']
129,3.9982,25344.8019,4.0,25270.7431,19,['E3C']
132,0.5588,33.8437,0.5587,33.833,9,['KVKSEGMENT_13']
133,12.0,172.5817,11.984,171.2574,9,['E3C']
134,24.0,170.8465,23.9362,169.502,9,['KVKSEGMENT_15']
136,2.4,271.4523,2.3994,270.6252,9,['KVKSEGMENT_8']
137,0.5,236.2665,0.5,234.399,9,['KVKSEGMENT_8']
139,8.0,1912.257,8.0071,1903.4028,18,['KVKSEGMENT_8']
140,0.5072,40.7953,0.5073,40.7897,9,['KVKSEGMENT_1']
141,24.0,52.8699,23.9362,52.4749,9,['KVKSEGMENT_8']
142,24.0,42.5483,23.9362,42.1796,9,['KVKSEGMENT_12']
143,6.4516,1177.354,6.4562,1176.9404,14,['KVKSEGMENT_6']
145,24.0,270.6538,23.9362,268.66,9,['KVKSEGMENT_8']
146,6.0,224.0071,6.004,222.0223,9,['KVKSEGMENT_13']
147,0.5106,75.1748,0.5106,75.03,9,['KVKSEGMENT_15']
149,1.0,607.2287,0.9999,601.8869,0,['KVKSEGMENT_14']
150,0.5,46.5709,0.5,46.4882,9,['E3A']
153,0.6804,32.5031,0.6803,32.4898,9,['KVKSEGMENT_11']
154,24.0,37.4616,23.9362,37.156,9,['KVKSEGMENT_4']
155,0.5159,33.9181,0.516,33.9144,9,['KVKSEGMENT_20']
156,24.0,663.4017,24.0642,657.8031,0,['E3B']
157,24.0,148.7206,24.0642,147.8154,9,['E3A']
159,24.0,62.7525,24.0642,62.3596,9,['KVKSEGMENT_1']
161,24.0,51.1238,0.503,50.9947,9,['E3A']
163,24.0,1798.7291,24.0642,1785.0567,18,['E3B']
165,3.0,595.8049,2.999,592.8827,0,['E3C']
166,24.0,1101.766,23.9362,1091.9775,14,['E3C']
169,0.5,40.1056,0.5,40.0455,9,['E3C']
170,24.0,344.0097,24.0642,341.6081,0,['E3D']
171,24.0,100.8147,23.9362,100.2589,9,['E3C']
174,0.6,204.2903,0.6,203.5875,9,['KVKSEGMENT_8']
175,1.3554,363.8789,1.3556,361.7512,0,['E3A']
176,0.5,442.5037,0.5,438.7832,0,['E3C']
177,1.3333,106.7785,1.3335,106.1894,9,['E3B']
179,1.0,1744.286,1.0001,1742.6271,18,['KVKSEGMENT_4']
182,1.0001,237.2027,1.0,237.0597,9,['E3C']
183,24.0,133.7004,24.0642,132.8978,9,['KVKSEGMENT_20']
184,24.0,1618.0199,23.9362,1603.6076,18,['KVKSEGMENT_8']
185,24.0,62.3534,23.9362,61.9639,9,['KVKSEGMENT_10']
187,0.5,393.9807,0.5,393.3131,0,['KVKSEGMENT_6']
188,0.5455,37.1012,0.5455,37.0805,9,['KVKSEGMENT_13']
189,0.6487,30.8994,0.6487,30.892,9,['KVKSEGMENT_16']
190,0.5213,37.857,0.5213,37.8552,9,['KVKSEGMENT_13']
193,0.5173,31.1106,0.5172,31.103,9,['E3C']
194,1.3365,578.4026,1.3363,576.0832,0,['E3C']
195,0.5,486.7687,0.5,482.868,0,['E3C']
198,1.2,318.6039,1.2002,316.6438,0,['KVKSEGMENT_8']
199,24.0,340.8692,24.0642,338.1631,0,['E3A']
200,0.5111,32.0709,0.5111,32.0621,9,['E3C']
202,0.5334,27.2746,0.5334,27.274,9,['E3C']
204,24.0,127.3377,23.9362,126.203,9,['KVKSEGMENT_1']
205,0.5217,26.3686,0.5217,26.3558,9,['KVKSEGMENT_20']
207,0.6316,30.4699,0.6315,30.4578,9,['KVKSEGMENT_11']
208,0.6938,71.1884,0.6937,71.1183,9,['E3C']
213,24.0,405.9045,23.9362,402.3402,0,['KVKSEGMENT_7']
214,1.5743,54.3314,1.574,54.317,9,['KVKSEGMENT_4']
218,24.0,77.0318,24.0642,76.4008,9,['E3B']
219,12.0,2744.8089,12.016,2722.4852,7,['E3B']
220,0.5,2423.5528,0.5,2408.1653,7,['E3C']
221,24.0,179.1024,24.0642,177.665,9,['E3A']
222,24.0,446.5557,23.9362,442.4993,0,['E3C']
224,24.0,59.4696,23.9362,58.9509,9,['KVKSEGMENT_8']
225,24.0,403.9244,23.9362,400.3085,0,['KVKSEGMENT_1']
226,0.9473,179.5201,0.9472,179.452,9,['KVKSEGMENT_16']
227,12.0,82.2809,11.984,81.7528,9,['KVKSEGMENT_10']
230,0.5312,24.513,0.5312,24.5091,9,['KVKSEGMENT_13']
231,0.5106,124.2972,0.5107,123.9793,9,['E3A']
232,0.5813,28.9044,0.5813,28.8935,9,['KVKSEGMENT_18']
234,0.5999,2699.7156,0.6,2698.9792,7,['KVKSEGMENT_8']
235,12.0,110.1441,11.984,109.6149,9,['KVKSEGMENT_10']
236,2.0,3039.0251,2.0004,3031.3897,7,['E3B']
237,24.0,77.0425,23.9362,76.6812,9,['KVKSEGMENT_10']
238,0.6877,136.6085,0.6878,136.5717,9,['KVKSEGMENT_1']
239,1.0,6772.6665,1.0001,6772.0848,3,['E3A']
240,24.0,73.157,24.0642,72.6912,9,['KVKSEGMENT_1']
241,1.4118,215.7213,1.412,215.4212,9,['KVKSEGMENT_1']
245,24.0,150.1985,23.9362,148.8299,9,['KVKSEGMENT_8']
248,0.5,500.0711,0.5,496.8481,0,['E3C']
249,24.0,298.0345,23.9362,295.432,0,['E3C']
250,24.0,82.6475,24.0642,81.9695,9,['E3A']
252,0.5094,49.0551,0.5094,49.0515,9,['E3A']
253,8.0,625.7576,7.9929,625.2985,0,['E3A']
254,0.5216,42.0264,0.5216,42.015,9,['E3C']
255,24.0,68.9499,24.0642,68.6683,9,['KVKSEGMENT_1']
256,2.4,423.1972,2.3994,421.5411,0,['KVKSEGMENT_8']
259,1.0,1547.1151,1.0001,1533.8477,18,['KVKSEGMENT_8']
260,3.0,13083.3032,2.999,13045.5796,5,['E3A']
261,0.5,534.3288,0.5,530.7869,0,['KVKSEGMENT_1']
265,24.0642,658.2374,24.0,658.1038,0,['KVKSEGMENT_19']
266,0.5248,178.8024,0.5249,178.5711,9,['E3A']
267,0.5,105.1075,0.5,104.9582,9,['KVKSEGMENT_6']
268,0.5015,27.6596,0.5015,27.6571,9,['KVKSEGMENT_1']
271,0.5692,36.5014,0.5692,36.5004,9,['E3A']
272,2.4,266.2818,2.4006,265.5846,9,['KVKSEGMENT_8']
273,24.0,670.8849,24.0642,665.0706,0,['KVKSEGMENT_8']
275,0.683,53.9391,0.683,53.9231,9,['E3B']
277,1.0,298.0976,1.0001,295.97,0,['KVKSEGMENT_1']
279,24.0,1046.6318,24.0642,1037.8927,14,['KVKSEGMENT_8']
281,0.5217,24.5428,0.5217,24.541,9,['KVKSEGMENT_14']
282,0.6,75.2285,0.6,75.1247,9,['E3A']
283,1.2632,76.4752,1.2633,76.1091,9,['E3A']
284,1.0,3062.3515,0.9999,3035.8956,7,['E3C']
285,24.0,537.1431,23.9362,532.2661,0,['KVKSEGMENT_14']
286,0.5,41.1139,0.5,40.9572,9,['E3A']
287,0.866,251.4645,0.8661,251.4261,9,['KVKSEGMENT_8']
288,8.0,53.6499,8.0071,53.2208,9,['KVKSEGMENT_18']
289,0.6981,182.5558,0.6981,182.5484,9,['KVKSEGMENT_16']
292,0.5598,30.1219,0.5598,30.1201,9,['KVKSEGMENT_1']
294,1.263,100.5206,1.2628,100.4369,9,['E3A']
295,0.5069,27.2337,0.5069,27.2162,9,['KVKSEGMENT_12']
296,0.5,1568.6286,0.5,1555.0403,18,['KVKSEGMENT_14']
297,24.0,160.6217,23.9362,159.3468,9,['E3A']
298,24.0,187.5595,23.9362,186.0193,9,['KVKSEGMENT_10']
299,24.0,431.2881,24.0642,427.6215,0,['E3B']
300,12.0,17277.6706,12.016,17147.2693,8,['KVKSEGMENT_6']
303,24.0,1655.9808,23.9362,1641.7563,18,['KVKSEGMENT_4']
304,0.5,390.7042,0.5,388.6103,0,['E3D']
306,24.0,204.8753,23.9362,203.288,9,['E3B']
307,24.0,34.8012,23.9362,34.5675,9,['KVKSEGMENT_13']
308,0.5,56.8518,0.5,56.7452,9,['E3A']
309,24.0,341.5513,23.9362,338.6736,0,['KVKSEGMENT_18']
311,1.0,394.5303,0.9999,391.9991,0,['E3C']
312,2.0,118.0329,2.0004,117.6399,9,['KVKSEGMENT_8']
313,0.6485,37.165,0.6485,37.1588,9,['E3A']
314,24.0,156.0874,23.9362,154.8298,9,['KVKSEGMENT_1']
315,0.9231,499.0177,0.9232,497.6645,0,['KVKSEGMENT_20']
317,8.0,289.7132,7.9929,288.8048,0,['KVKSEGMENT_19']
319,24.0,9362.3201,24.0642,9289.6679,13,['KVKSEGMENT_14']
320,24.0,30.8017,24.0642,30.5932,9,['E3B']
323,0.5218,143.1741,0.5218,142.8723,9,['KVKSEGMENT_19']
324,24.0,41.3656,23.9362,41.0038,9,['E3D']
326,24.0,346.9909,23.9362,344.2451,0,['E3A']
327,24.0,184.2356,23.9362,182.6306,9,['E3A']
330,24.0,36.7631,23.9362,36.5631,9,['KVKSEGMENT_16']
331,0.6185,67.1173,0.6185,67.0806,9,['KVKSEGMENT_11']
332,0.5492,50.7918,0.5491,50.7911,9,['KVKSEGMENT_18']
333,0.5213,26.3876,0.5213,26.3806,9,['KVKSEGMENT_16']
334,1.6,44.5215,1.6003,44.411,9,['KVKSEGMENT_18']
335,0.75,330.4963,0.7499,330.4518,0,['KVKSEGMENT_8']
336,1.6,81.3032,1.6003,81.0855,9,['KVKSEGMENT_18']
338,12.0,79.1136,11.984,78.4833,9,['KVKSEGMENT_1']
340,0.5455,227.2338,0.5455,226.0823,9,['KVKSEGMENT_8']
342,0.8571,118.1506,0.8571,118.136,9,['E3A']
345,0.5418,28.2256,0.5419,28.2186,9,['E3A']
346,24.0,3899.7823,23.9362,3867.74,11,['KVKSEGMENT_4']
347,24.0,795.3563,24.0642,791.2175,14,['KVKSEGMENT_1']
349,24.0,587.4727,24.0642,582.1173,0,['KVKSEGMENT_18']
350,12.0,269.4542,11.984,267.8641,9,['E3B']
351,0.5769,38.3447,0.5769,38.3358,9,['KVKSEGMENT_20']
352,8.0,54.8941,8.0071,54.5656,9,['KVKSEGMENT_14']
353,0.5157,34.4022,0.5157,34.3966,9,['KVKSEGMENT_18']
356,0.6667,1094.076,0.6667,1091.1078,14,['E3B']
360,2.6667,352.7057,2.6659,352.1345,0,['KVKSEGMENT_16']
361,0.5995,28.5382,0.5996,28.5288,9,['KVKSEGMENT_1']
362,0.6639,616.8344,0.664,616.8194,0,['KVKSEGMENT_4']
363,24.0,152.557,23.9362,151.2548,9,['KVKSEGMENT_13']
364,24.0,1142.3138,23.9362,1134.8097,14,['KVKSEGMENT_19']
366,24.0,83.7485,24.0642,83.1585,9,['E3C']
367,0.5715,163.9801,0.5715,163.8913,9,['E3B']
368,2.6667,162.8914,2.6675,162.4567,9,['E3C']
369,0.5333,483.9259,0.5333,482.0193,0,['KVKSEGMENT_8']
370,12.0,169.2731,11.984,167.8855,9,['KVKSEGMENT_13']
371,0.5422,40.5237,0.5422,40.5086,9,['E3A']
372,0.6154,42.8097,0.6154,42.7455,9,['E3B']
373,1.0909,11850.8255,1.091,11808.3662,5,['E3C']
375,24.0,214.6754,23.9362,213.0234,9,['E3B']
376,0.7335,37.2698,0.7336,37.2671,9,['E3D']
377,24.0,90.7179,24.0642,90.3765,9,['E3A']
380,0.8603,61.4535,0.8603,61.4398,9,['E3C']
381,1.3333,165.4125,1.3335,164.4849,9,['KVKSEGMENT_8']
383,0.7357,523.933,0.7358,523.5811,0,['KVKSEGMENT_12']
384,24.0,158.2541,24.0642,156.8745,9,['E3A']
385,0.5999,39.0198,0.6,38.9946,9,['KVKSEGMENT_1']
386,1.1678,896.0091,1.1676,895.4577,14,['E3A']
388,12.0,362.8649,12.016,359.8733,0,['E3C']
389,0.5,39.6216,0.5,39.5842,9,['KVKSEGMENT_18']
392,1.0,1566.1496,0.9999,1553.0311,18,['KVKSEGMENT_1']
394,0.6056,341.2839,0.6056,341.2147,0,['KVKSEGMENT_6']
397,24.0,221.3105,23.9362,219.6838,9,['KVKSEGMENT_4']
398,0.5106,43.4414,0.5106,43.4245,9,['KVKSEGMENT_10']
401,6.0,5454.5711,24.0,5439.145,16,['KVKSEGMENT_12']
402,0.7531,585.9085,0.7531,585.8406,0,['KVKSEGMENT_17']
403,0.96,99.1249,0.9601,98.4406,9,['E3C']
404,12.0,82.1424,11.984,81.7739,9,['KVKSEGMENT_10']
405,0.5,1186.7742,0.5,1184.5702,14,['E3A']
406,12.0,86.9049,11.984,86.2658,9,['E3B']
407,3.0,3122.3094,3.001,3115.1423,7,['E3A']
408,24.0,219.3784,24.0642,217.6388,9,['KVKSEGMENT_16']
410,0.63,48.3408,0.6299,48.291,9,['KVKSEGMENT_10']
411,1.004,525.3772,1.0041,523.8642,0,['E3B']
412,0.5179,46.0721,0.5179,46.0582,9,['E3B']
413,0.5052,20.4062,0.5052,20.3997,9,['KVKSEGMENT_13']
414,24.0,269.143,23.9362,266.7841,9,['KVKSEGMENT_18']
415,0.5,7784.3342,0.5,7713.5929,13,['KVKSEGMENT_8']
416,0.8902,335.9141,0.8903,335.9123,0,['KVKSEGMENT_1']
417,24.0,44.4657,23.9362,44.063,9,['E3A']
418,24.0,196.7755,24.0642,195.2351,9,['E3B']
419,1.0,242.2602,1.0001,241.6716,9,['E3A']
421,24.0,1015.8075,23.9362,1007.8774,14,['E3B']
423,24.0,466.7439,23.9362,463.0339,0,['KVKSEGMENT_8']
425,0.5,778.2113,0.5,771.6241,14,['KVKSEGMENT_8']
426,0.5455,52.6437,0.5455,52.6138,9,['E3A']
427,1.4118,222.2955,1.4115,221.6896,9,['E3A']
428,24.0,836.2727,24.0642,829.3544,14,['E3A']
430,1.2,4895.4001,1.1998,4887.4874,16,['KVKSEGMENT_9']
432,1.0435,1311.7576,1.0434,1304.137,14,['KVKSEGMENT_8']
433,24.0,314.9526,24.0642,312.2307,0,['KVKSEGMENT_13']
434,24.0,90.0572,23.9362,89.2706,9,['KVKSEGMENT_12']
436,1.0,566.8798,1.0001,565.4319,0,['KVKSEGMENT_14']
437,24.0,2574.5179,23.9362,2551.2495,7,['E3B']
438,0.6721,268.761,0.6721,268.5064,9,['E3A']
439,2.0004,59.7511,2.0,59.7082,9,['E3A']
440,24.0,258.2663,24.0642,256.213,9,['KVKSEGMENT_1']
441,2.1818,6495.6356,2.1813,6483.6246,3,['KVKSEGMENT_4']
442,24.0,2988.006,23.9362,2961.0515,7,['KVKSEGMENT_16']
443,24.0,58.5668,23.9362,58.1529,9,['E3C']
445,24.0,275.4066,24.0642,272.9369,9,['E3C']
448,0.511,130.667,0.511,130.5722,9,['E3B']
449,24.0,400.2447,23.9362,397.1625,0,['KVKSEGMENT_5']
450,0.5065,28.3295,0.5065,28.316,9,['E3A']
451,0.5852,83.8463,0.5853,83.8402,9,['KVKSEGMENT_8']
452,1.0,835.4045,1.0001,828.5497,14,['E3C']
453,0.5,5655.0238,0.5,5603.9932,16,['E3C']
454,24.0,4286.3908,23.9362,4250.4758,11,['KVKSEGMENT_1']
455,24.0,12005.7646,23.9362,11902.565,5,['KVKSEGMENT_14']
457,24.0,202.6981,24.0642,200.8924,9,['E3C']
458,0.5,309.3527,0.5,307.0305,0,['E3C']
459,0.5,167.685,0.5,166.5848,9,['KVKSEGMENT_4']
460,0.7273,5730.4726,0.7273,5723.5486,16,['KVKSEGMENT_4']
461,24.0,109.6631,24.0642,108.6779,9,['KVKSEGMENT_12']
463,24.0,316.0754,24.0642,313.9224,0,['KVKSEGMENT_1']
465,24.0,667.0279,24.0642,663.2573,0,['E3A']
466,2.4,233.5912,2.3994,233.0024,9,['E3B']
467,24.0,360.0837,24.0642,357.3529,0,['E3B']
468,24.0,645.3267,23.9362,639.5682,0,['E3B']
470,0.5122,34.0275,0.5121,34.02,9,['E3A']
471,0.533,34.726,0.533,34.7174,9,['KVKSEGMENT_15']
473,1.0435,184.9354,1.0436,183.5869,9,['E3C']
474,0.6857,44.3632,0.6002,44.3187,9,['KVKSEGMENT_1']
475,0.7541,106.4212,0.7541,106.0898,9,['KVKSEGMENT_4']
481,0.5,184.5396,0.5,183.8069,9,['KVKSEGMENT_12']
482,0.5579,46.7348,0.5579,46.7218,9,['KVKSEGMENT_10']
484,0.6016,35.5491,0.6016,35.5342,9,['E3A']
485,24.0,93.219,23.9362,92.6107,9,['KVKSEGMENT_10']
486,0.5455,232.3564,0.5455,232.3005,9,['E3A']
487,1.0,527.4637,0.9999,525.4442,0,['E3C']
488,12.0,220.0366,11.984,218.1788,9,['KVKSEGMENT_10']
489,0.5452,39.884,0.5452,39.8795,9,['E3A']
490,0.5395,20.9061,0.5395,20.8989,9,['E3A']
491,24.0,62.3869,24.0642,61.8256,9,['E3A']
493,0.6976,45.8698,0.6977,45.8669,9,['E3A']
494,1.0,127.7038,1.0001,126.9499,9,['KVKSEGMENT_14']
497,24.0,198.1292,23.9362,196.3702,9,['E3B']
498,0.5229,48.9409,0.5229,48.9283,9,['E3B']
499,24.0,427.2918,23.9362,423.6014,0,['KVKSEGMENT_13']
500,0.6667,193.7148,0.6666,193.536,9,['KVKSEGMENT_8']
501,12.0,298.5878,12.016,296.4777,0,['E3A']
502,1.4118,358.0728,1.4115,357.6323,0,['E3A']
503,24.0,5237.9381,24.0642,5191.9202,16,['KVKSEGMENT_4']
505,12.0,245.9575,12.016,244.4607,9,['KVKSEGMENT_19']
508,8.0,127.0883,7.9929,126.1175,9,['KVKSEGMENT_9']
509,24.0,126.1402,23.9362,125.1238,9,['KVKSEGMENT_20']
510,24.0,859.4515,23.9362,851.7601,14,['KVKSEGMENT_8']
511,0.7743,63.4993,0.7742,63.408,9,['E3A']
512,0.5023,37.9209,0.5023,37.9084,9,['KVKSEGMENT_18']
513,0.5,3095.7678,0.5,3068.1752,7,['E3D']
514,24.0,412.6671,23.9362,408.8817,0,['E3C']
518,12.0,150.3983,11.984,149.4698,9,['E3A']
520,0.5714,424.8201,0.5714,424.4636,0,['KVKSEGMENT_1']
521,0.5585,46.6269,0.5585,46.6266,9,['E3B']
522,0.75,263.721,0.7501,262.8858,9,['KVKSEGMENT_8']
523,24.0,106.7107,23.9362,105.8655,9,['E3A']
524,0.5459,672.7874,0.546,672.7821,0,['E3D']
525,24.0,502.032,24.0642,500.7427,0,['KVKSEGMENT_2']
526,12.0,271.5439,12.016,270.624,9,['KVKSEGMENT_19']
527,0.5217,43.7041,0.5218,43.6317,9,['E3A']
529,0.5435,617.7984,0.5436,617.5204,0,['E3A']
531,24.0,508.9906,23.9362,505.1035,0,['KVKSEGMENT_13']
533,0.5052,41.2556,0.5052,41.2466,9,['E3A']
536,24.0,861.3886,24.0642,854.6711,14,['E3C']
537,12.0,146.4111,12.016,145.4609,9,['E3B']
538,12.0,120.908,11.984,119.873,9,['KVKSEGMENT_1']
543,24.0,1006.6047,23.9362,997.5743,14,['KVKSEGMENT_13']
544,0.5,362.4493,0.5,361.9369,0,['KVKSEGMENT_8']
545,24.0,203.3112,24.0642,201.4662,9,['KVKSEGMENT_14']
546,24.0,104.5134,23.9362,103.5827,9,['E3A']
547,24.0,2381.2048,23.9362,2359.8895,7,['KVKSEGMENT_4']
548,0.6,40.4074,0.6,40.3849,9,['E3B']
549,24.0,48.7555,23.9362,48.3729,9,['E3C']
554,0.5,1591.2898,0.5,1578.3441,18,['KVKSEGMENT_14']
555,24.0,2777.3704,24.0642,2753.5359,7,['KVKSEGMENT_1']
556,24.0,168.9472,24.0642,167.6407,9,['E3A']
557,24.0,288.9731,23.9362,286.4022,0,['KVKSEGMENT_4']
558,24.0,47.6225,24.0642,47.2443,9,['E3B']
559,24.0,786.9954,23.9362,781.4704,14,['E3A']
560,0.5147,14.581,0.5147,14.5735,9,['E3A']
561,0.5107,52.3456,0.5107,52.2962,9,['KVKSEGMENT_10']
562,24.0,39.062,24.0642,38.7435,9,['KVKSEGMENT_17']
563,24.0,884.152,24.0642,879.4647,14,['KVKSEGMENT_20']
564,1.3333,109.7223,1.3335,109.3353,9,['E3A']
