Customer,Spectral Frequency,K-means cluster,Profiles
2,24.0,1,['KVKSEGMENT_8']
3,24.0,1,['E3A']
4,1.72,18,['KVKSEGMENT_6']
5,24.0,1,['E3A']
6,24.0,1,['KVKSEGMENT_20']
7,24.0,1,['KVKSEGMENT_17']
9,12.0,2,['KVKSEGMENT_4']
10,24.0,1,['E3C']
12,0.55,25,['KVKSEGMENT_20']
14,0.56,25,['KVKSEGMENT_10']
15,0.97,0,['KVKSEGMENT_5']
19,1.0,0,['KVKSEGMENT_1']
21,12.0,2,['KVKSEGMENT_16']
22,1.0,0,['KVKSEGMENT_14']
23,6.0,4,['KVKSEGMENT_4']
24,12.0,2,['E3D']
25,24.0,1,['E3D']
26,2.4,5,['E3B']
28,0.71,13,['KVKSEGMENT_18']
29,0.67,22,['KVKSEGMENT_1']
30,0.58,17,['E3A']
31,24.0,1,['E3B']
34,1.2,14,['KVKSEGMENT_8']
35,24.0,1,['E3B']
37,24.0,1,['E3B']
38,24.0,1,['KVKSEGMENT_14']
39,0.5,6,['E3C']
41,24.0,1,['E3A']
42,12.0,2,['KVKSEGMENT_13']
44,1.02,0,['KVKSEGMENT_17']
45,24.0,1,['KVKSEGMENT_1']
46,0.51,6,['KVKSEGMENT_2']
47,12.0,2,['E3A']
48,24.0,1,['E3A']
51,24.0,1,['KVKSEGMENT_16']
52,0.5,6,['KVKSEGMENT_4']
53,0.52,6,['KVKSEGMENT_10']
54,6.0,4,['KVKSEGMENT_1']
55,0.75,13,['KVKSEGMENT_11']
56,24.0,1,['KVKSEGMENT_18']
57,0.51,6,['E3A']
58,0.59,17,['KVKSEGMENT_11']
59,0.68,22,['E3B']
61,24.0,1,['KVKSEGMENT_20']
64,24.0,1,['KVKSEGMENT_8']
65,0.53,6,['KVKSEGMENT_7']
66,0.7,22,['E3A']
67,1.09,0,['E3A']
68,2.0,9,['KVKSEGMENT_14']
69,0.5,6,['KVKSEGMENT_8']
71,24.0,1,['KVKSEGMENT_12']
73,24.0,1,['E3C']
75,24.0,1,['E3B']
76,0.55,25,['KVKSEGMENT_19']
77,1.0,0,['KVKSEGMENT_8']
78,8.0,7,['KVKSEGMENT_8']
81,12.0,2,['E3B']
82,0.65,22,['E3C']
83,24.0,1,['KVKSEGMENT_4']
85,0.5,6,['KVKSEGMENT_14']
87,24.0,1,['KVKSEGMENT_1']
88,0.59,17,['KVKSEGMENT_14']
89,24.0,1,['E3A']
92,24.0,1,['E3C']
93,1.33,19,['KVKSEGMENT_1']
94,24.0,1,['E3B']
95,24.0,1,['KVKSEGMENT_16']
96,0.54,25,['E3A']
97,0.5,6,['KVKSEGMENT_8']
99,1.26,19,['KVKSEGMENT_2']
100,24.0,1,['KVKSEGMENT_4']
101,24.0,1,['KVKSEGMENT_11']
102,0.6,17,['KVKSEGMENT_8']
105,24.0,1,['E3A']
108,1.0,0,['E3B']
109,0.52,6,['E3A']
113,0.53,6,['E3B']
114,0.51,6,['E3C']
115,24.0,1,['KVKSEGMENT_16']
116,24.0,1,['KVKSEGMENT_1']
117,12.0,2,['KVKSEGMENT_8']
118,24.0,1,['E3C']
120,24.0,1,['KVKSEGMENT_10']
121,1.0,0,['E3B']
125,3.81,8,['E3A']
126,24.0,1,['KVKSEGMENT_8']
128,12.0,2,['E3C']
129,4.0,8,['E3C']
132,0.56,25,['KVKSEGMENT_13']
133,12.0,2,['E3C']
134,24.0,1,['KVKSEGMENT_15']
136,2.4,5,['KVKSEGMENT_8']
137,0.5,6,['KVKSEGMENT_8']
139,8.0,7,['KVKSEGMENT_8']
140,0.51,6,['KVKSEGMENT_1']
141,24.0,1,['KVKSEGMENT_8']
142,24.0,1,['KVKSEGMENT_12']
143,6.45,23,['KVKSEGMENT_6']
145,24.0,1,['KVKSEGMENT_8']
146,6.0,4,['KVKSEGMENT_13']
147,0.51,6,['KVKSEGMENT_15']
149,1.0,0,['KVKSEGMENT_14']
150,0.5,6,['E3A']
153,0.68,22,['KVKSEGMENT_11']
154,24.0,1,['KVKSEGMENT_4']
155,0.52,6,['KVKSEGMENT_20']
156,24.0,1,['E3B']
157,24.0,1,['E3A']
159,24.0,1,['KVKSEGMENT_1']
161,24.0,1,['E3A']
163,24.0,1,['E3B']
165,3.0,11,['E3C']
166,24.0,1,['E3C']
169,0.5,6,['E3C']
170,24.0,1,['E3D']
171,24.0,1,['E3C']
174,0.6,17,['KVKSEGMENT_8']
175,1.36,19,['E3A']
176,0.5,6,['E3C']
177,1.33,19,['E3B']
179,1.0,0,['KVKSEGMENT_4']
182,1.0,0,['E3C']
183,24.0,1,['KVKSEGMENT_20']
184,24.0,1,['KVKSEGMENT_8']
185,24.0,1,['KVKSEGMENT_10']
187,0.5,6,['KVKSEGMENT_6']
188,0.55,25,['KVKSEGMENT_13']
189,0.65,22,['KVKSEGMENT_16']
190,0.52,6,['KVKSEGMENT_13']
193,0.52,6,['E3C']
194,1.34,19,['E3C']
195,0.5,6,['E3C']
198,1.2,14,['KVKSEGMENT_8']
199,24.0,1,['E3A']
200,0.51,6,['E3C']
202,0.53,6,['E3C']
204,24.0,1,['KVKSEGMENT_1']
205,0.52,6,['KVKSEGMENT_20']
207,0.63,22,['KVKSEGMENT_11']
208,0.69,22,['E3C']
213,24.0,1,['KVKSEGMENT_7']
214,1.57,18,['KVKSEGMENT_4']
218,24.0,1,['E3B']
219,12.0,2,['E3B']
220,0.5,6,['E3C']
221,24.0,1,['E3A']
222,24.0,1,['E3C']
224,24.0,1,['KVKSEGMENT_8']
225,24.0,1,['KVKSEGMENT_1']
226,0.95,0,['KVKSEGMENT_16']
227,12.0,2,['KVKSEGMENT_10']
230,0.53,6,['KVKSEGMENT_13']
231,0.51,6,['E3A']
232,0.58,17,['KVKSEGMENT_18']
234,0.6,17,['KVKSEGMENT_8']
235,12.0,2,['KVKSEGMENT_10']
236,2.0,9,['E3B']
237,24.0,1,['KVKSEGMENT_10']
238,0.69,22,['KVKSEGMENT_1']
239,1.0,0,['E3A']
240,24.0,1,['KVKSEGMENT_1']
241,1.41,10,['KVKSEGMENT_1']
245,24.0,1,['KVKSEGMENT_8']
248,0.5,6,['E3C']
249,24.0,1,['E3C']
250,24.0,1,['E3A']
252,0.51,6,['E3A']
253,8.0,7,['E3A']
254,0.52,6,['E3C']
255,24.0,1,['KVKSEGMENT_1']
256,2.4,5,['KVKSEGMENT_8']
259,1.0,0,['KVKSEGMENT_8']
260,3.0,11,['E3A']
261,0.5,6,['KVKSEGMENT_1']
265,24.06,1,['KVKSEGMENT_19']
266,0.52,6,['E3A']
267,0.5,6,['KVKSEGMENT_6']
268,0.5,6,['KVKSEGMENT_1']
271,0.57,25,['E3A']
272,2.4,5,['KVKSEGMENT_8']
273,24.0,1,['KVKSEGMENT_8']
275,0.68,22,['E3B']
277,1.0,0,['KVKSEGMENT_1']
279,24.0,1,['KVKSEGMENT_8']
281,0.52,6,['KVKSEGMENT_14']
282,0.6,17,['E3A']
283,1.26,19,['E3A']
284,1.0,0,['E3C']
285,24.0,1,['KVKSEGMENT_14']
286,0.5,6,['E3A']
287,0.87,21,['KVKSEGMENT_8']
288,8.0,7,['KVKSEGMENT_18']
289,0.7,22,['KVKSEGMENT_16']
292,0.56,25,['KVKSEGMENT_1']
294,1.26,19,['E3A']
295,0.51,6,['KVKSEGMENT_12']
296,0.5,6,['KVKSEGMENT_14']
297,24.0,1,['E3A']
298,24.0,1,['KVKSEGMENT_10']
299,24.0,1,['E3B']
300,12.0,2,['KVKSEGMENT_6']
303,24.0,1,['KVKSEGMENT_4']
304,0.5,6,['E3D']
306,24.0,1,['E3B']
307,24.0,1,['KVKSEGMENT_13']
308,0.5,6,['E3A']
309,24.0,1,['KVKSEGMENT_18']
311,1.0,0,['E3C']
312,2.0,9,['KVKSEGMENT_8']
313,0.65,22,['E3A']
314,24.0,1,['KVKSEGMENT_1']
315,0.92,21,['KVKSEGMENT_20']
317,8.0,7,['KVKSEGMENT_19']
319,24.0,1,['KVKSEGMENT_14']
320,24.0,1,['E3B']
323,0.52,6,['KVKSEGMENT_19']
324,24.0,1,['E3D']
326,24.0,1,['E3A']
327,24.0,1,['E3A']
330,24.0,1,['KVKSEGMENT_16']
331,0.62,17,['KVKSEGMENT_11']
332,0.55,25,['KVKSEGMENT_18']
333,0.52,6,['KVKSEGMENT_16']
334,1.6,18,['KVKSEGMENT_18']
335,0.75,13,['KVKSEGMENT_8']
336,1.6,18,['KVKSEGMENT_18']
338,12.0,2,['KVKSEGMENT_1']
340,0.55,25,['KVKSEGMENT_8']
342,0.86,21,['E3A']
345,0.54,25,['E3A']
346,24.0,1,['KVKSEGMENT_4']
347,24.0,1,['KVKSEGMENT_1']
349,24.0,1,['KVKSEGMENT_18']
350,12.0,2,['E3B']
351,0.58,17,['KVKSEGMENT_20']
352,8.0,7,['KVKSEGMENT_14']
353,0.52,6,['KVKSEGMENT_18']
356,0.67,22,['E3B']
360,2.67,16,['KVKSEGMENT_16']
361,0.6,17,['KVKSEGMENT_1']
362,0.66,22,['KVKSEGMENT_4']
363,24.0,1,['KVKSEGMENT_13']
364,24.0,1,['KVKSEGMENT_19']
366,24.0,1,['E3C']
367,0.57,25,['E3B']
368,2.67,16,['E3C']
369,0.53,6,['KVKSEGMENT_8']
370,12.0,2,['KVKSEGMENT_13']
371,0.54,25,['E3A']
372,0.62,17,['E3B']
373,1.09,0,['E3C']
